                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.0818,                0.66332,                 1.1714,                0.99707,                      1,                  0.995,                0.74871,                0.89727,                0.47265,                 1.1262,              0.0014426,              0.0014426,              0.0014426
                     71,                 1.0621,                0.62726,                 1.1701,                0.99506,                0.99333,                0.99493,                0.73628,                 0.9408,                0.50451,                  1.149,              0.0014393,              0.0014393,              0.0014393
                     72,                 1.1449,                0.69173,                 1.1896,                0.99737,                      1,                  0.995,                0.72579,                 0.9744,                0.46455,                  1.154,               0.001436,               0.001436,               0.001436
                     73,                 1.0823,                0.65295,                 1.1544,                0.99839,                      1,                  0.995,                0.72944,                0.96942,                0.42886,                 1.1491,              0.0014327,              0.0014327,              0.0014327
                     74,                 1.1229,                0.65732,                 1.1962,                0.99788,                      1,                  0.995,                0.71818,                0.95249,                0.42622,                 1.1592,              0.0014294,              0.0014294,              0.0014294
                     75,                  1.063,                0.64491,                 1.1923,                0.99905,                      1,                  0.995,                0.73883,                0.94693,                0.42916,                 1.1484,              0.0014261,              0.0014261,              0.0014261
                     76,                 1.0732,                0.62899,                 1.1702,                0.99871,                      1,                  0.995,                0.73275,                0.95117,                 0.4472,                  1.141,              0.0014228,              0.0014228,              0.0014228
                     77,                 1.0707,                0.65115,                 1.1126,                0.99772,                      1,                  0.995,                0.73466,                0.95353,                0.44775,                 1.1363,              0.0014195,              0.0014195,              0.0014195
                     78,                   1.08,                 0.6491,                 1.1766,                0.99741,                      1,                  0.995,                0.74622,                0.95723,                0.46526,                 1.1407,              0.0014161,              0.0014161,              0.0014161
                     79,                 1.1176,                0.62016,                 1.1775,                0.99904,                      1,                  0.995,                0.73396,                 1.0138,                0.45094,                   1.17,              0.0014128,              0.0014128,              0.0014128
                     80,                 1.1402,                0.65549,                 1.2021,                0.99899,                      1,                  0.995,                0.74346,                 0.9621,                0.43601,                 1.1426,              0.0014095,              0.0014095,              0.0014095
                     81,                 1.0713,                0.63604,                  1.138,                 0.9979,                      1,                  0.995,                0.73564,                0.97448,                0.44325,                 1.1547,              0.0014062,              0.0014062,              0.0014062
                     82,                 1.0438,                0.59994,                 1.1706,                0.99707,                      1,                  0.995,                0.72427,                 1.0097,                 0.4515,                 1.1833,              0.0014029,              0.0014029,              0.0014029
                     83,                 1.0794,                0.65861,                 1.1641,                 0.9983,                      1,                  0.995,                0.72975,                0.97032,                0.43771,                 1.1674,              0.0013996,              0.0013996,              0.0013996
                     84,                 1.0749,                0.58756,                 1.1819,                0.99904,                      1,                  0.995,                 0.7328,                 0.9628,                0.43236,                  1.157,              0.0013963,              0.0013963,              0.0013963
                     85,                 1.1059,                0.63623,                 1.1765,                0.99905,                      1,                  0.995,                0.75211,                0.96141,                0.43843,                  1.154,               0.001393,               0.001393,               0.001393
                     86,                 1.0857,                0.62884,                 1.1748,                0.99816,                      1,                  0.995,                0.73917,                0.97202,                0.44302,                 1.1661,              0.0013897,              0.0013897,              0.0013897
                     87,                 1.0768,                 0.6585,                 1.1792,                  0.998,                      1,                  0.995,                 0.7525,                0.93042,                0.44491,                 1.1314,              0.0013864,              0.0013864,              0.0013864
                     88,                 1.0767,                0.63706,                 1.1631,                0.99609,                      1,                  0.995,                0.74662,                0.96366,                0.44273,                 1.1423,              0.0013831,              0.0013831,              0.0013831
                     89,                 1.0616,                0.60747,                 1.1528,                0.99823,                      1,                  0.995,                0.73635,                0.95029,                0.42188,                 1.1398,              0.0013798,              0.0013798,              0.0013798
